,videoId,videoTitle,videoDescription,videoUrl,videoPublishedTime,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
0,s__sV0JTW9k,Inside Nigeria&#39;s Push to End Police Brutality,Nigerians organize protests at home and in expatriate Nigerian communities around the world to put an end to the brutality caused by the Special Anti-Robbery ...,https://www.youtube.com/watch?v=s__sV0JTW9k,21:00:10,161253,3795,160,0,927
1,9U110_p92jE,#EndSARS: Witness Plays Video That Claims Army Shot Protesters At Lekki Toll Gate,#ChannelsTv.,https://www.youtube.com/watch?v=9U110_p92jE,15:00:27,32519,0,0,0,0
2,8NH9MXuBQr4,#EndSARS – Nigerias Kampf gegen Korruption und Polizeigewalt I #trending,"Das Video eines unschuldigen Passanten, der von der nigerianischen Polizei-Einheit SARS niedergeschossen wird, ging im letzten Herbst viral - tausende ...",https://www.youtube.com/watch?v=8NH9MXuBQr4,15:35:53,27184,857,72,0,290
3,FLasT1ohvpw,END SARS PROTEST,instagram @mcluving_productions.,https://www.youtube.com/watch?v=FLasT1ohvpw,12:18:59,18,0,0,0,0
4,TK51buvzjxc,NIGERIAN POLICE FINALLY BOWS WITH PRESSURE OF THE NEW END SARS PROTETERS AT LEKKI TOLL GATE,NIGERIAN POLICE FINALLY BOWS WITH PRESSURE OF THE NEW END SARS PROTETERS AT LEKKI TOLL GATE Gbefilatv is an Entertainment channel ...,https://www.youtube.com/watch?v=TK51buvzjxc,13:42:24,30941,215,16,0,121
5,UgLdLXzlNFE,End SARS Protest Part 2 Begins!! | Occupy Lekki Toll Gate Protesters Get Arr£$ted | Full Update,End SARS Protest Part 2 Begins!! | Occupy Lekki Toll Gate Protesters Get Arr£$ted | Full Update #Endsars #protest #Lagos #nigeria #news #occupylekkitollgate.,https://www.youtube.com/watch?v=UgLdLXzlNFE,11:19:37,3716,51,1,0,25
6,5tSTc4rYw7Q,END SARS  - BRAND NEW COMEDY SKIT,"CitynollyTv is a Top Nigerian Nollywood Movie Channel, that Brings to you Collections of Nollywood Movies, Romantic Movies, Action Movies, Family Movies, ...",https://www.youtube.com/watch?v=5tSTc4rYw7Q,14:00:01,5,0,0,0,0
7,RoOBOFOJ3YU,#EndSARS Is Back To End Nigeria🇳🇬,OccupyLekkiTollGate #EndSARS NIGERIAN youths to resume endsars protest over lekki Tollgate reopening.,https://www.youtube.com/watch?v=RoOBOFOJ3YU,13:39:05,7915,496,6,0,35
8,ds-aUcN2CdY,End SARS 2021 Protest Again In Nigeria As Experts Question President Buhari Response,End SARS 2021 Protest Again In Nigeria As Experts Question President Buhari Response #ENDSARS #LekkiTollGate #OccupyLekkiTollGate Bolatito Rinu ...,https://www.youtube.com/watch?v=ds-aUcN2CdY,19:12:46,308,15,1,0,0
9,lUfRlNVW3_8,#ENDSARS: My Conscience Won’t Let Me Remain On The Judicial Panel - Rinu,Don't forget to subscribe: https://bit.ly/2Hb8hjx Watch more interesting videos: https://bit.ly/34ogCaw Follow Channels Television On: Facebook: ...,https://www.youtube.com/watch?v=lUfRlNVW3_8,18:39:40,55022,0,0,0,141
10,QlWg5QLapQ8,DOZENS OF POLICE OFFICERS DEPLOY TO LEKKI TOLLGATE AHEAD PLANNED END SARS PRØTEST,DOZENS OF POLICE OFFICERS DEPLOY TO LEKKI TOLLGATE AHEAD PLANNED END SARS PRØTEST.,https://www.youtube.com/watch?v=QlWg5QLapQ8,23:11:37,1135,9,1,0,10
11,eh2CwOG3AHk,#EndSARS Coordinator Plays Videos Showing Protesters Allegedly Shot By Soldiers,#ChannelsTv.,https://www.youtube.com/watch?v=eh2CwOG3AHk,12:26:14,26470,0,0,0,0
12,3_fmEE8WwfE,END SARS - LATEST 2021 NIGERIAN SHORT FILM,Mind-blowing TOP NIGERIAN MOVIES 2019 | TRENDING MOVIES 2019 | AFRICAN MOVIES 2019 | NOLLYWOOD MOVIES 2019 NIGERIAN MOVIES ...,https://www.youtube.com/watch?v=3_fmEE8WwfE,18:45:01,24,0,0,0,0
